team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Atlanta Hawks,2010,101,52,49,0.515,93.41,95.3,-1.89,97.35,104.63,-7.25,0.5026,0.461,0.4635,0.3225,0.2836,0.1524,0.4772,50,29,93.86,95.34,51,23,92.96,95.25
Boston Celtics,2010,99,68,31,0.687,96.59,91.4,5.18,104.54,100.42,4.11,0.5704,0.5226,0.5263,0.3589,0.2907,0.1931,0.4599,49,40,98.73,90.41,50,28,94.48,92.38
Brooklyn Nets,2010,89,26,63,0.292,94.11,100.28,-6.17,97.34,103.34,-6.0,0.5294,0.4766,0.4622,0.3965,0.2738,0.195,0.4957,44,20,95.27,98.59,45,6,92.98,101.93
Charlotte Hornets,2010,90,38,52,0.422,92.99,96.53,-3.54,97.06,95.29,1.79,0.5386,0.4771,0.4717,0.4741,0.2716,0.198,0.4386,45,24,96.16,95.87,45,14,89.82,97.2
Chicago Bulls,2010,106,75,31,0.708,97.48,91.09,6.39,103.38,100.07,3.31,0.5171,0.4695,0.4696,0.3277,0.3511,0.163,0.4764,54,45,99.57,89.65,52,30,95.31,92.6
Cleveland Cavaliers,2010,89,25,64,0.281,95.29,102.91,-7.62,97.59,88.23,9.36,0.53,0.467,0.442,0.3738,0.2877,0.1955,0.4123,46,16,95.52,99.52,43,9,95.05,106.53
Dallas Mavericks,2010,111,77,34,0.694,99.25,95.27,3.98,106.47,103.12,3.34,0.5519,0.501,0.4771,0.3483,0.3017,0.1647,0.4734,56,40,100.48,94.34,55,37,98.0,96.22
Denver Nuggets,2010,95,56,39,0.589,107.11,102.79,4.32,107.81,106.17,1.65,0.566,0.5022,0.5022,0.4828,0.2824,0.1648,0.4766,46,37,111.48,101.43,49,19,103.0,104.06
Detroit Pistons,2010,90,33,57,0.367,96.98,100.46,-3.48,101.5,104.15,-2.64,0.5486,0.4929,0.497,0.3817,0.2486,0.1833,0.5149,46,24,100.87,101.02,44,9,92.91,99.86
Golden State Warriors,2010,90,39,51,0.433,103.21,105.22,-2.01,100.13,99.2,0.91,0.5311,0.4782,0.4392,0.323,0.3292,0.1888,0.4673,44,29,106.02,101.86,46,10,100.52,108.43
Houston Rockets,2010,90,47,43,0.522,105.19,102.83,2.36,103.91,99.29,4.61,0.5395,0.493,0.493,0.3115,0.2849,0.1658,0.4745,46,28,104.83,99.93,44,19,105.57,105.86
Indiana Pacers,2010,94,41,53,0.436,98.91,100.8,-1.88,95.74,103.49,-7.75,0.4975,0.4483,0.4483,0.3461,0.2982,0.1843,0.4672,46,27,101.89,98.61,48,14,96.06,102.9
Los Angeles Clippers,2010,90,33,57,0.367,98.5,102.03,-3.53,98.2,106.05,-7.82,0.5351,0.4944,0.4944,0.3446,0.3149,0.2147,0.5009,45,23,99.93,99.31,45,10,97.07,104.76
Los Angeles Lakers,2010,99,65,34,0.657,100.38,95.43,4.95,104.47,104.77,-0.29,0.5265,0.4786,0.4751,0.333,0.3243,0.1586,0.5159,52,36,102.12,94.85,47,29,98.47,96.09
Memphis Grizzlies,2010,102,60,42,0.588,99.84,97.52,2.32,103.72,101.27,2.42,0.5311,0.4842,0.4736,0.3617,0.332,0.1617,0.4745,50,38,102.1,95.02,52,21,97.67,99.92
Miami Heat,2010,109,74,35,0.679,99.62,93.71,5.92,103.92,102.61,1.31,0.5376,0.4807,0.4815,0.3687,0.3005,0.1651,0.4786,55,41,101.73,93.18,54,33,97.48,94.24
Milwaukee Bucks,2010,90,38,52,0.422,92.21,93.04,-0.83,97.5,98.34,-0.82,0.5324,0.4595,0.4666,0.3903,0.2734,0.1967,0.4724,44,24,92.75,90.48,46,14,91.7,95.5
Minnesota Timberwolves,2010,90,23,67,0.256,101.88,107.48,-5.6,103.13,97.71,5.4,0.5433,0.4854,0.4854,0.4373,0.302,0.1815,0.4671,47,17,103.28,105.06,43,6,100.35,110.12
New Orleans Pelicans,2010,96,49,47,0.51,94.04,94.64,-0.59,97.71,107.89,-10.18,0.5079,0.4566,0.4555,0.3333,0.2845,0.1726,0.5094,47,30,94.51,92.04,49,19,93.59,97.12
New York Knicks,2010,93,44,49,0.473,105.22,105.39,-0.17,97.17,104.4,-7.22,0.5132,0.4605,0.468,0.373,0.2779,0.1834,0.5049,46,25,107.11,105.93,47,19,103.36,104.85
Oklahoma City Thunder,2010,105,67,38,0.638,104.32,101.19,3.13,107.85,106.6,1.25,0.5485,0.4821,0.4851,0.4091,0.3244,0.159,0.4803,52,37,105.92,100.13,53,30,102.75,102.23
Orlando Magic,2010,95,61,34,0.642,98.8,92.13,6.67,106.5,91.46,15.05,0.5568,0.515,0.5136,0.3723,0.3132,0.1618,0.4193,48,35,99.5,88.65,47,26,98.09,95.68
Philadelphia 76ers,2010,94,44,50,0.468,98.23,97.5,0.73,98.77,103.96,-5.19,0.4956,0.4384,0.4268,0.3272,0.2835,0.1514,0.504,46,29,100.39,95.22,48,15,96.17,99.69
Phoenix Suns,2010,90,42,48,0.467,104.19,106.41,-2.22,94.15,110.14,-15.99,0.5098,0.4612,0.4507,0.375,0.3167,0.192,0.503,46,25,104.3,105.33,44,17,104.07,107.55
Portland Trail Blazers,2010,95,53,42,0.558,96.01,94.98,1.03,105.23,107.65,-2.44,0.5479,0.4968,0.4897,0.3319,0.3042,0.1672,0.4971,48,35,98.71,93.08,47,18,93.26,96.91
Sacramento Kings,2010,89,27,62,0.303,99.01,104.16,-5.15,96.71,99.41,-2.73,0.5016,0.4469,0.4469,0.4199,0.3076,0.1827,0.4844,44,13,99.09,102.27,45,14,98.93,106.0
San Antonio Spurs,2010,94,66,28,0.702,102.53,97.88,4.65,100.38,103.55,-3.15,0.5102,0.4596,0.4572,0.3079,0.3007,0.1613,0.4859,47,40,105.28,96.09,47,26,99.79,99.68
Toronto Raptors,2010,90,26,64,0.289,99.92,105.14,-5.22,106.94,101.16,5.8,0.5336,0.4921,0.4966,0.3709,0.3454,0.1743,0.5074,46,19,101.59,103.5,44,7,98.18,106.86
Utah Jazz,2010,90,47,43,0.522,99.34,100.29,-0.94,105.98,97.08,8.88,0.561,0.5041,0.491,0.4384,0.302,0.1922,0.4678,44,24,100.7,99.36,46,23,98.04,101.17
Washington Wizards,2010,89,26,63,0.292,97.12,103.89,-6.76,97.7,96.5,1.17,0.5144,0.4857,0.4857,0.2807,0.2787,0.1816,0.4747,43,21,98.26,100.05,46,5,96.07,107.48
Atlanta Hawks,2011,74,43,31,0.581,95.09,92.2,2.89,91.95,93.47,-1.52,0.4755,0.4328,0.4324,0.2378,0.3056,0.1774,0.4424,37,26,97.62,92.73,37,17,92.57,91.68
Boston Celtics,2011,88,52,36,0.591,91.01,88.8,2.22,98.47,97.12,1.35,0.5129,0.4634,0.463,0.2956,0.2608,0.1481,0.461,44,33,91.55,84.41,44,19,90.48,93.18
