team_clean,season_start,records_count,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct
Atlanta Hawks,2010,19,97.35,104.63,-7.25,0.5026,0.461
Boston Celtics,2010,17,104.54,100.42,4.11,0.5704,0.5226
Brooklyn Nets,2010,7,97.34,103.34,-6.0,0.5294,0.4766
Charlotte Hornets,2010,8,97.06,95.29,1.79,0.5386,0.4771
Chicago Bulls,2010,24,103.38,100.07,3.31,0.5171,0.4695
Cleveland Cavaliers,2010,7,97.59,88.23,9.36,0.53,0.467
Dallas Mavericks,2010,29,106.47,103.12,3.34,0.5519,0.501
Denver Nuggets,2010,13,107.81,106.17,1.65,0.566,0.5022
Detroit Pistons,2010,8,101.5,104.15,-2.64,0.5486,0.4929
Golden State Warriors,2010,8,100.13,99.2,0.91,0.5311,0.4782
Houston Rockets,2010,8,103.91,99.29,4.61,0.5395,0.493
Indiana Pacers,2010,12,95.74,103.49,-7.75,0.4975,0.4483
Los Angeles Clippers,2010,8,98.2,106.05,-7.82,0.5351,0.4944
Los Angeles Lakers,2010,17,104.47,104.77,-0.29,0.5265,0.4786
Memphis Grizzlies,2010,20,103.72,101.27,2.42,0.5311,0.4842
Miami Heat,2010,27,103.92,102.61,1.31,0.5376,0.4807
Milwaukee Bucks,2010,8,97.5,98.34,-0.82,0.5324,0.4595
Minnesota Timberwolves,2010,8,103.13,97.71,5.4,0.5433,0.4854
New Orleans Pelicans,2010,14,97.71,107.89,-10.18,0.5079,0.4566
New York Knicks,2010,11,97.17,104.4,-7.22,0.5132,0.4605
Oklahoma City Thunder,2010,23,107.85,106.6,1.25,0.5485,0.4821
Orlando Magic,2010,13,106.5,91.46,15.05,0.5568,0.515
Philadelphia 76ers,2010,12,98.77,103.96,-5.19,0.4956,0.4384
Phoenix Suns,2010,8,94.15,110.14,-15.99,0.5098,0.4612
Portland Trail Blazers,2010,13,105.23,107.65,-2.44,0.5479,0.4968
Sacramento Kings,2010,7,96.71,99.41,-2.73,0.5016,0.4469
San Antonio Spurs,2010,12,100.38,103.55,-3.15,0.5102,0.4596
Toronto Raptors,2010,8,106.94,101.16,5.8,0.5336,0.4921
Utah Jazz,2010,8,105.98,97.08,8.88,0.561,0.5041
Washington Wizards,2010,7,97.7,96.5,1.17,0.5144,0.4857
Atlanta Hawks,2011,8,91.95,93.47,-1.52,0.4755,0.4328
Boston Celtics,2011,22,98.47,97.12,1.35,0.5129,0.4634
Brooklyn Nets,2011,2,83.3,91.4,-8.05,0.477,0.454
