team_clean,season_start,records_count,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct
Atlanta Hawks,2010,15,0.4635,0.3225,0.2836,0.1524,0.4772
Boston Celtics,2010,15,0.5263,0.3589,0.2907,0.1931,0.4599
Brooklyn Nets,2010,6,0.4622,0.3965,0.2738,0.195,0.4957
Charlotte Hornets,2010,7,0.4717,0.4741,0.2716,0.198,0.4386
Chicago Bulls,2010,23,0.4696,0.3277,0.3511,0.163,0.4764
Cleveland Cavaliers,2010,6,0.442,0.3738,0.2877,0.1955,0.4123
Dallas Mavericks,2010,19,0.4771,0.3483,0.3017,0.1647,0.4734
Denver Nuggets,2010,13,0.5022,0.4828,0.2824,0.1648,0.4766
Detroit Pistons,2010,7,0.497,0.3817,0.2486,0.1833,0.5149
Golden State Warriors,2010,6,0.4392,0.323,0.3292,0.1888,0.4673
Houston Rockets,2010,8,0.493,0.3115,0.2849,0.1658,0.4745
Indiana Pacers,2010,12,0.4483,0.3461,0.2982,0.1843,0.4672
Los Angeles Clippers,2010,8,0.4944,0.3446,0.3149,0.2147,0.5009
Los Angeles Lakers,2010,15,0.4751,0.333,0.3243,0.1586,0.5159
Memphis Grizzlies,2010,19,0.4736,0.3617,0.332,0.1617,0.4745
Miami Heat,2010,24,0.4815,0.3687,0.3005,0.1651,0.4786
Milwaukee Bucks,2010,7,0.4666,0.3903,0.2734,0.1967,0.4724
Minnesota Timberwolves,2010,8,0.4854,0.4373,0.302,0.1815,0.4671
New Orleans Pelicans,2010,13,0.4555,0.3333,0.2845,0.1726,0.5094
New York Knicks,2010,10,0.468,0.373,0.2779,0.1834,0.5049
Oklahoma City Thunder,2010,21,0.4851,0.4091,0.3244,0.159,0.4803
Orlando Magic,2010,12,0.5136,0.3723,0.3132,0.1618,0.4193
Philadelphia 76ers,2010,8,0.4268,0.3272,0.2835,0.1514,0.504
Phoenix Suns,2010,6,0.4507,0.375,0.3167,0.192,0.503
Portland Trail Blazers,2010,9,0.4897,0.3319,0.3042,0.1672,0.4971
Sacramento Kings,2010,7,0.4469,0.4199,0.3076,0.1827,0.4844
San Antonio Spurs,2010,10,0.4572,0.3079,0.3007,0.1613,0.4859
Toronto Raptors,2010,7,0.4966,0.3709,0.3454,0.1743,0.5074
Utah Jazz,2010,5,0.491,0.4384,0.302,0.1922,0.4678
Washington Wizards,2010,7,0.4857,0.2807,0.2787,0.1816,0.4747
Atlanta Hawks,2011,5,0.4324,0.2378,0.3056,0.1774,0.4424
Boston Celtics,2011,21,0.463,0.2956,0.2608,0.1481,0.461
Brooklyn Nets,2011,2,0.454,0.3515,0.2885,0.2375,0.414
Charlotte Hornets,2011,2,0.4045,0.349,0.283,0.1975,0.4095
Chicago Bulls,2011,7,0.4577,0.2567,0.323,0.1737,0.4186
Cleveland Cavaliers,2011,2,0.4205,0.596,0.3015,0.197,0.4225
Dallas Mavericks,2011,5,0.4548,0.3074,0.2638,0.164,0.5086
Denver Nuggets,2011,7,0.4637,0.2746,0.3463,0.1144,0.4546
Detroit Pistons,2011,2,0.4225,0.463,0.2955,0.228,0.4205
Golden State Warriors,2011,2,0.4615,0.3145,0.332,0.187,0.533
Houston Rockets,2011,2,0.484,0.3515,0.3125,0.191,0.469
Indiana Pacers,2011,9,0.4397,0.314,0.3426,0.1696,0.4727
Los Angeles Clippers,2011,13,0.5085,0.3229,0.2638,0.152,0.5015
Los Angeles Lakers,2011,12,0.4688,0.3126,0.354,0.1532,0.478
Memphis Grizzlies,2011,7,0.4504,0.4233,0.362,0.1881,0.4847
Miami Heat,2011,23,0.5088,0.3831,0.2877,0.142,0.4734
Milwaukee Bucks,2011,2,0.451,0.3015,0.2735,0.1295,0.514
Minnesota Timberwolves,2011,2,0.514,0.4035,0.279,0.188,0.451
New Orleans Pelicans,2011,2,0.465,0.382,0.3365,0.1425,0.465
New York Knicks,2011,6,0.4535,0.2893,0.3212,0.1908,0.4932
Oklahoma City Thunder,2011,20,0.506,0.3025,0.2664,0.1268,0.488
Orlando Magic,2011,7,0.4629,0.2853,0.2831,0.1694,0.4967
Philadelphia 76ers,2011,13,0.4462,0.3286,0.2812,0.1435,0.457
Phoenix Suns,2011,2,0.4445,0.371,0.2835,0.1755,0.512
Portland Trail Blazers,2011,2,0.498,0.3325,0.2655,0.1615,0.4345
Sacramento Kings,2011,1,0.521,0.479,0.234,0.265,0.406
San Antonio Spurs,2011,14,0.5301,0.3066,0.2433,0.1576,0.4856
Toronto Raptors,2011,2,0.3815,0.332,0.3575,0.2295,0.4105
Utah Jazz,2011,6,0.4095,0.3513,0.3647,0.1705,0.5198
Washington Wizards,2011,2,0.354,0.316,0.3375,0.17,0.5115
Atlanta Hawks,2012,11,0.4532,0.335,0.2569,0.1463,0.4599
Boston Celtics,2012,11,0.4882,0.3258,0.2164,0.1945,0.4545
Brooklyn Nets,2012,11,0.4677,0.316,0.3156,0.1503,0.4994
Charlotte Hornets,2012,8,0.4311,0.3266,0.3035,0.1679,0.4951
Chicago Bulls,2012,17,0.4496,0.3362,0.3304,0.1688,0.4769
Cleveland Cavaliers,2012,6,0.4553,0.3528,0.3113,0.1958,0.4883
Dallas Mavericks,2012,5,0.469,0.2996,0.281,0.1848,0.445
Denver Nuggets,2012,13,0.4724,0.3509,0.3347,0.1809,0.5342
Detroit Pistons,2012,8,0.4517,0.3391,0.306,0.1951,0.4853
Golden State Warriors,2012,16,0.5251,0.2724,0.2888,0.1779,0.474
Houston Rockets,2012,11,0.5045,0.3243,0.2846,0.1551,0.4915
Indiana Pacers,2012,24,0.463,0.3544,0.3342,0.1847,0.4679
Los Angeles Clippers,2012,12,0.4874,0.3197,0.3049,0.1723,0.4791
Los Angeles Lakers,2012,10,0.4675,0.3369,0.2513,0.1906,0.5214
Memphis Grizzlies,2012,20,0.453,0.3448,0.3234,0.1353,0.4916
Miami Heat,2012,26,0.5091,0.2969,0.2695,0.153,0.4859
Milwaukee Bucks,2012,10,0.467,0.2582,0.2937,0.1665,0.5014
Minnesota Timberwolves,2012,4,0.4542,0.4095,0.3177,0.1975,0.4007
New Orleans Pelicans,2012,7,0.4303,0.3047,0.3137,0.2059,0.4659
New York Knicks,2012,16,0.4674,0.2731,0.2793,0.1416,0.4907
Oklahoma City Thunder,2012,16,0.4856,0.2664,0.2813,0.1503,0.4604
Orlando Magic,2012,7,0.488,0.2373,0.2794,0.176,0.5006
Philadelphia 76ers,2012,6,0.5107,0.2592,0.2778,0.1598,0.4508
Phoenix Suns,2012,6,0.4982,0.217,0.2812,0.176,0.4892
Portland Trail Blazers,2012,7,0.4991,0.2991,0.306,0.2027,0.511
Sacramento Kings,2012,7,0.4636,0.3164,0.31,0.1607,0.49
San Antonio Spurs,2012,23,0.5066,0.2852,0.2714,0.1492,0.4795
Toronto Raptors,2012,5,0.5246,0.3416,0.3092,0.1608,0.4786
Utah Jazz,2012,7,0.4919,0.3717,0.341,0.1783,0.4881
Washington Wizards,2012,8,0.4585,0.2833,0.3591,0.17,0.5008
Atlanta Hawks,2013,13,0.4505,0.2984,0.2419,0.1786,0.5045
Boston Celtics,2013,8,0.4675,0.2923,0.3124,0.1774,0.4779
Brooklyn Nets,2013,16,0.5104,0.373,0.2924,0.1667,0.4952
Charlotte Hornets,2013,11,0.4637,0.3897,0.2721,0.1665,0.4685
Chicago Bulls,2013,12,0.4721,0.3967,0.313,0.1773,0.4433
Cleveland Cavaliers,2013,8,0.435,0.3473,0.3664,0.216,0.474
Dallas Mavericks,2013,11,0.4809,0.2122,0.2873,0.1334,0.5108
Denver Nuggets,2013,7,0.4307,0.3187,0.2829,0.1871,0.4619
Detroit Pistons,2013,7,0.4866,0.4,0.3026,0.212,0.4904
Golden State Warriors,2013,12,0.4853,0.2752,0.2848,0.1647,0.4849
Houston Rockets,2013,13,0.5138,0.3375,0.3552,0.164,0.4772
Indiana Pacers,2013,25,0.4862,0.3484,0.2637,0.1581,0.4891
Los Angeles Clippers,2013,20,0.5005,0.3562,0.282,0.1443,0.5058
Los Angeles Lakers,2013,7,0.4466,0.3391,0.2311,0.187,0.4766
Memphis Grizzlies,2013,13,0.4311,0.3448,0.2839,0.1578,0.4852
Miami Heat,2013,21,0.5378,0.3281,0.2309,0.1549,0.5319
Milwaukee Bucks,2013,6,0.476,0.4175,0.2623,0.2147,0.4457
Minnesota Timberwolves,2013,5,0.4724,0.4392,0.3394,0.1498,0.466
New Orleans Pelicans,2013,6,0.5065,0.348,0.2782,0.1995,0.5055
New York Knicks,2013,7,0.4636,0.2529,0.279,0.1481,0.5123
Oklahoma City Thunder,2013,22,0.4851,0.3453,0.2928,0.1628,0.474
Orlando Magic,2013,7,0.4851,0.2666,0.3729,0.21,0.4936
Philadelphia 76ers,2013,5,0.4208,0.3486,0.2826,0.1876,0.5228
Phoenix Suns,2013,6,0.4948,0.2407,0.3383,0.2035,0.4742
Portland Trail Blazers,2013,16,0.4772,0.3008,0.3181,0.169,0.4821
Sacramento Kings,2013,7,0.4947,0.3397,0.2727,0.173,0.4786
San Antonio Spurs,2013,23,0.5364,0.2872,0.2512,0.149,0.5045
Toronto Raptors,2013,14,0.4969,0.4135,0.3294,0.1899,0.4744
Utah Jazz,2013,8,0.4441,0.2995,0.2976,0.1812,0.4889
Washington Wizards,2013,16,0.464,0.2899,0.3082,0.1574,0.4743
Atlanta Hawks,2014,21,0.4926,0.2605,0.2484,0.1411,0.4876
