team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential
Atlanta Hawks,2010,101,52,49,0.515,93.41,95.3,-1.89
Boston Celtics,2010,99,68,31,0.687,96.59,91.4,5.18
Brooklyn Nets,2010,89,26,63,0.292,94.11,100.28,-6.17
Charlotte Hornets,2010,90,38,52,0.422,92.99,96.53,-3.54
Chicago Bulls,2010,106,75,31,0.708,97.48,91.09,6.39
Cleveland Cavaliers,2010,89,25,64,0.281,95.29,102.91,-7.62
Dallas Mavericks,2010,111,77,34,0.694,99.25,95.27,3.98
Denver Nuggets,2010,95,56,39,0.589,107.11,102.79,4.32
Detroit Pistons,2010,90,33,57,0.367,96.98,100.46,-3.48
Golden State Warriors,2010,90,39,51,0.433,103.21,105.22,-2.01
Houston Rockets,2010,90,47,43,0.522,105.19,102.83,2.36
Indiana Pacers,2010,94,41,53,0.436,98.91,100.8,-1.88
Los Angeles Clippers,2010,90,33,57,0.367,98.5,102.03,-3.53
Los Angeles Lakers,2010,99,65,34,0.657,100.38,95.43,4.95
Memphis Grizzlies,2010,102,60,42,0.588,99.84,97.52,2.32
Miami Heat,2010,109,74,35,0.679,99.62,93.71,5.92
Milwaukee Bucks,2010,90,38,52,0.422,92.21,93.04,-0.83
Minnesota Timberwolves,2010,90,23,67,0.256,101.88,107.48,-5.6
New Orleans Pelicans,2010,96,49,47,0.51,94.04,94.64,-0.59
New York Knicks,2010,93,44,49,0.473,105.22,105.39,-0.17
Oklahoma City Thunder,2010,105,67,38,0.638,104.32,101.19,3.13
Orlando Magic,2010,95,61,34,0.642,98.8,92.13,6.67
Philadelphia 76ers,2010,94,44,50,0.468,98.23,97.5,0.73
Phoenix Suns,2010,90,42,48,0.467,104.19,106.41,-2.22
Portland Trail Blazers,2010,95,53,42,0.558,96.01,94.98,1.03
Sacramento Kings,2010,89,27,62,0.303,99.01,104.16,-5.15
San Antonio Spurs,2010,94,66,28,0.702,102.53,97.88,4.65
Toronto Raptors,2010,90,26,64,0.289,99.92,105.14,-5.22
Utah Jazz,2010,90,47,43,0.522,99.34,100.29,-0.94
Washington Wizards,2010,89,26,63,0.292,97.12,103.89,-6.76
Atlanta Hawks,2011,74,43,31,0.581,95.09,92.2,2.89
Boston Celtics,2011,88,52,36,0.591,91.01,88.8,2.22
Brooklyn Nets,2011,68,22,46,0.324,92.78,98.81,-6.03
Charlotte Hornets,2011,68,8,60,0.118,86.66,100.38,-13.72
Chicago Bulls,2011,74,54,20,0.73,95.31,87.92,7.39
Cleveland Cavaliers,2011,68,22,46,0.324,92.94,99.88,-6.94
Dallas Mavericks,2011,72,36,36,0.5,95.42,95.15,0.26
Denver Nuggets,2011,75,43,32,0.573,103.81,100.68,3.13
Detroit Pistons,2011,68,26,42,0.382,90.79,95.49,-4.69
Golden State Warriors,2011,68,24,44,0.353,97.81,101.01,-3.21
Houston Rockets,2011,68,35,33,0.515,98.09,97.69,0.4
Indiana Pacers,2011,79,48,31,0.608,96.48,93.72,2.76
Los Angeles Clippers,2011,79,46,33,0.582,96.96,95.19,1.77
Los Angeles Lakers,2011,80,46,34,0.575,96.85,96.6,0.25
Memphis Grizzlies,2011,75,44,31,0.587,94.39,92.84,1.55
Miami Heat,2011,91,63,28,0.692,98.43,91.98,6.45
Milwaukee Bucks,2011,68,31,37,0.456,98.75,98.81,-0.06
Minnesota Timberwolves,2011,68,28,40,0.412,98.03,99.84,-1.81
New Orleans Pelicans,2011,68,23,45,0.338,89.82,93.15,-3.32
New York Knicks,2011,73,39,34,0.534,96.6,94.47,2.14
Oklahoma City Thunder,2011,88,62,26,0.705,102.5,96.8,5.7
Orlando Magic,2011,73,39,34,0.534,93.47,93.89,-0.42
Philadelphia 76ers,2011,81,44,37,0.543,92.57,88.91,3.65
Phoenix Suns,2011,68,33,35,0.485,98.34,99.19,-0.85
Portland Trail Blazers,2011,68,29,39,0.426,97.26,97.62,-0.35
Sacramento Kings,2011,68,23,45,0.338,98.66,104.28,-5.62
San Antonio Spurs,2011,82,61,21,0.744,103.09,96.45,6.63
Toronto Raptors,2011,68,23,45,0.338,90.21,93.54,-3.34
Utah Jazz,2011,72,37,35,0.514,98.67,99.22,-0.56
Washington Wizards,2011,68,20,48,0.294,93.41,98.54,-5.13
Atlanta Hawks,2012,95,49,46,0.516,97.41,97.09,0.32
Boston Celtics,2012,93,45,48,0.484,95.49,96.08,-0.58
Brooklyn Nets,2012,95,55,40,0.579,97.04,95.65,1.39
Charlotte Hornets,2012,90,22,68,0.244,93.02,102.17,-9.14
Chicago Bulls,2012,101,55,46,0.545,92.84,93.15,-0.31
Cleveland Cavaliers,2012,88,26,62,0.295,96.24,101.14,-4.9
Dallas Mavericks,2012,88,44,44,0.5,100.75,101.14,-0.39
Denver Nuggets,2012,95,62,33,0.653,105.01,101.28,3.73
Detroit Pistons,2012,90,33,57,0.367,94.44,98.31,-3.87
Golden State Warriors,2012,101,58,43,0.574,100.95,99.85,1.1
Houston Rockets,2012,95,52,43,0.547,105.42,102.54,2.88
Indiana Pacers,2012,107,64,43,0.598,93.97,90.96,3.01
Los Angeles Clippers,2012,96,63,33,0.656,100.19,94.78,5.41
Los Angeles Lakers,2012,94,45,49,0.479,100.1,101.18,-1.09
Memphis Grizzlies,2012,104,67,37,0.644,94.01,90.67,3.34
Miami Heat,2012,113,86,27,0.761,101.08,93.95,7.13
Milwaukee Bucks,2012,94,41,53,0.436,97.95,99.95,-2.0
Minnesota Timberwolves,2012,88,35,53,0.398,95.27,96.93,-1.66
New Orleans Pelicans,2012,90,31,59,0.344,93.21,97.17,-3.96
New York Knicks,2012,100,63,37,0.63,98.38,94.85,3.53
Oklahoma City Thunder,2012,100,69,31,0.69,104.5,96.52,7.98
Orlando Magic,2012,90,22,68,0.244,94.42,101.37,-6.94
Philadelphia 76ers,2012,89,40,49,0.449,93.92,96.13,-2.21
Phoenix Suns,2012,89,29,60,0.326,95.34,101.1,-5.76
Portland Trail Blazers,2012,89,36,53,0.404,97.6,100.48,-2.89
Sacramento Kings,2012,89,33,56,0.371,100.11,104.36,-4.25
San Antonio Spurs,2012,109,76,33,0.697,102.42,96.14,6.28
Toronto Raptors,2012,88,39,49,0.443,97.58,98.39,-0.81
Utah Jazz,2012,90,48,42,0.533,98.13,97.48,0.66
Washington Wizards,2012,90,32,58,0.356,93.43,96.06,-2.62
Atlanta Hawks,2013,96,42,54,0.438,99.36,100.6,-1.24
Boston Celtics,2013,90,27,63,0.3,96.07,100.2,-4.13
Brooklyn Nets,2013,101,54,47,0.535,98.26,98.56,-0.31
