team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Atlanta Hawks,2010,50,29,93.86,95.34,51,23,92.96,95.25
Boston Celtics,2010,49,40,98.73,90.41,50,28,94.48,92.38
Brooklyn Nets,2010,44,20,95.27,98.59,45,6,92.98,101.93
Charlotte Hornets,2010,45,24,96.16,95.87,45,14,89.82,97.2
Chicago Bulls,2010,54,45,99.57,89.65,52,30,95.31,92.6
Cleveland Cavaliers,2010,46,16,95.52,99.52,43,9,95.05,106.53
Dallas Mavericks,2010,56,40,100.48,94.34,55,37,98.0,96.22
Denver Nuggets,2010,46,37,111.48,101.43,49,19,103.0,104.06
Detroit Pistons,2010,46,24,100.87,101.02,44,9,92.91,99.86
Golden State Warriors,2010,44,29,106.02,101.86,46,10,100.52,108.43
Houston Rockets,2010,46,28,104.83,99.93,44,19,105.57,105.86
Indiana Pacers,2010,46,27,101.89,98.61,48,14,96.06,102.9
Los Angeles Clippers,2010,45,23,99.93,99.31,45,10,97.07,104.76
Los Angeles Lakers,2010,52,36,102.12,94.85,47,29,98.47,96.09
Memphis Grizzlies,2010,50,38,102.1,95.02,52,21,97.67,99.92
Miami Heat,2010,55,41,101.73,93.18,54,33,97.48,94.24
Milwaukee Bucks,2010,44,24,92.75,90.48,46,14,91.7,95.5
Minnesota Timberwolves,2010,47,17,103.28,105.06,43,6,100.35,110.12
New Orleans Pelicans,2010,47,30,94.51,92.04,49,19,93.59,97.12
New York Knicks,2010,46,25,107.11,105.93,47,19,103.36,104.85
Oklahoma City Thunder,2010,52,37,105.92,100.13,53,30,102.75,102.23
Orlando Magic,2010,48,35,99.5,88.65,47,26,98.09,95.68
Philadelphia 76ers,2010,46,29,100.39,95.22,48,15,96.17,99.69
Phoenix Suns,2010,46,25,104.3,105.33,44,17,104.07,107.55
Portland Trail Blazers,2010,48,35,98.71,93.08,47,18,93.26,96.91
Sacramento Kings,2010,44,13,99.09,102.27,45,14,98.93,106.0
San Antonio Spurs,2010,47,40,105.28,96.09,47,26,99.79,99.68
Toronto Raptors,2010,46,19,101.59,103.5,44,7,98.18,106.86
Utah Jazz,2010,44,24,100.7,99.36,46,23,98.04,101.17
Washington Wizards,2010,43,21,98.26,100.05,46,5,96.07,107.48
Atlanta Hawks,2011,37,26,97.62,92.73,37,17,92.57,91.68
Boston Celtics,2011,44,33,91.55,84.41,44,19,90.48,93.18
Brooklyn Nets,2011,34,9,93.88,100.5,34,13,91.68,97.12
Charlotte Hornets,2011,34,5,86.88,98.82,34,3,86.44,101.94
Chicago Bulls,2011,37,29,95.43,87.89,37,25,95.19,87.95
Cleveland Cavaliers,2011,34,11,92.59,99.32,34,11,93.29,100.44
Dallas Mavericks,2011,36,23,96.69,93.53,36,13,94.14,96.78
Denver Nuggets,2011,37,23,103.49,98.84,38,20,104.13,102.47
Detroit Pistons,2011,34,18,92.76,93.41,34,8,88.82,97.56
Golden State Warriors,2011,34,13,99.15,100.94,34,11,96.47,101.09
Houston Rockets,2011,34,23,100.03,94.97,34,12,96.15,100.41
Indiana Pacers,2011,40,26,98.3,92.58,39,22,94.62,94.9
Los Angeles Clippers,2011,39,27,98.46,94.18,40,19,95.5,96.17
Los Angeles Lakers,2011,40,30,98.87,93.75,40,16,94.82,99.45
Memphis Grizzlies,2011,38,28,97.76,92.13,37,16,90.92,93.57
Miami Heat,2011,47,40,100.87,89.38,44,23,95.82,94.75
Milwaukee Bucks,2011,34,17,99.97,99.53,34,14,97.53,98.09
Minnesota Timberwolves,2011,34,14,96.47,98.06,34,14,99.59,101.62
New Orleans Pelicans,2011,34,12,89.44,91.68,34,11,90.21,94.62
New York Knicks,2011,36,24,98.33,91.94,37,15,94.92,96.92
Oklahoma City Thunder,2011,44,36,104.7,95.25,44,26,100.3,98.34
Orlando Magic,2011,36,22,96.25,93.31,37,17,90.76,94.46
Philadelphia 76ers,2011,40,25,91.95,85.6,41,19,93.17,92.15
Phoenix Suns,2011,34,19,100.12,98.15,34,14,96.56,100.24
Portland Trail Blazers,2011,34,21,101.82,95.79,34,8,92.71,99.44
Sacramento Kings,2011,34,17,101.26,103.44,34,6,96.06,105.12
San Antonio Spurs,2011,41,35,105.9,94.17,41,26,100.27,98.73
Toronto Raptors,2011,34,13,92.09,92.71,34,10,88.32,94.38
Utah Jazz,2011,36,26,100.72,95.61,36,11,96.61,102.83
Washington Wizards,2011,34,11,94.74,97.79,34,9,92.09,99.29
Atlanta Hawks,2012,47,30,98.7,96.02,48,19,96.15,98.15
Boston Celtics,2012,47,29,97.28,93.77,46,16,93.67,98.43
Brooklyn Nets,2012,49,29,97.27,95.27,46,26,96.8,96.07
Charlotte Hornets,2012,45,16,96.09,100.09,45,6,89.96,104.24
Chicago Bulls,2012,52,31,93.06,91.35,49,24,92.61,95.06
Cleveland Cavaliers,2012,45,15,96.76,100.31,43,11,95.7,102.0
Dallas Mavericks,2012,45,27,102.82,99.69,43,17,98.58,102.65
Denver Nuggets,2012,46,41,107.93,98.61,49,21,102.27,103.8
Detroit Pistons,2012,45,22,96.22,95.67,45,11,92.67,100.96
Golden State Warriors,2012,49,34,101.04,97.04,52,24,100.87,102.5
Houston Rockets,2012,48,33,107.48,101.04,47,19,103.32,104.06
Indiana Pacers,2012,53,41,97.66,89.83,54,23,90.35,92.07
Los Angeles Clippers,2012,49,37,102.69,93.18,47,26,97.57,96.45
Los Angeles Lakers,2012,50,29,99.46,98.54,44,16,100.82,104.18
Memphis Grizzlies,2012,51,39,94.88,88.86,53,28,93.17,92.42
Miami Heat,2012,59,49,103.73,94.07,54,37,98.19,93.81
Milwaukee Bucks,2012,47,22,99.83,100.64,47,19,96.06,99.26
Minnesota Timberwolves,2012,44,23,95.43,93.77,44,12,95.11,100.09
New Orleans Pelicans,2012,44,18,92.86,94.57,46,13,93.54,99.65
New York Knicks,2012,47,35,101.13,92.6,53,28,95.94,96.85
Oklahoma City Thunder,2012,51,41,107.18,95.39,49,28,101.71,97.69
Orlando Magic,2012,45,14,95.62,102.07,45,8,93.22,100.67
Philadelphia 76ers,2012,45,26,95.64,95.62,44,14,92.16,96.66
Phoenix Suns,2012,44,20,94.84,96.86,45,9,95.82,105.24
Portland Trail Blazers,2012,44,24,99.55,98.8,45,12,95.69,102.13
Sacramento Kings,2012,44,22,104.45,104.39,45,11,95.87,104.33
San Antonio Spurs,2012,54,45,104.09,94.43,55,31,100.78,97.82
Toronto Raptors,2012,45,25,97.0,94.49,43,14,98.19,102.47
Utah Jazz,2012,44,33,100.09,94.66,46,15,96.26,100.17
Washington Wizards,2012,42,22,97.95,95.48,48,10,89.48,96.56
Atlanta Hawks,2013,47,25,99.66,98.64,49,17,99.08,102.49
Boston Celtics,2013,45,18,96.91,98.62,45,9,95.22,101.78
Brooklyn Nets,2013,49,33,99.12,95.76,52,21,97.44,101.21
Charlotte Hornets,2013,47,27,96.21,94.15,47,21,95.87,98.15
Chicago Bulls,2013,49,32,94.65,89.61,46,25,92.72,93.5
Cleveland Cavaliers,2013,47,22,97.6,97.96,43,15,97.74,104.4
Dallas Mavericks,2013,48,29,105.77,103.0,49,27,101.22,100.37
Denver Nuggets,2013,43,23,105.16,104.67,46,15,101.74,107.07
Detroit Pistons,2013,44,19,101.16,103.5,45,13,99.78,104.56
Golden State Warriors,2013,47,31,104.09,96.66,49,26,103.02,102.84
Houston Rockets,2013,48,37,109.21,101.12,47,25,106.51,105.21
Indiana Pacers,2013,54,40,96.74,89.48,55,29,94.71,95.35
Los Angeles Clippers,2013,52,40,110.38,101.27,51,28,104.2,101.25
Los Angeles Lakers,2013,48,18,103.0,106.56,42,13,101.64,110.52
Memphis Grizzlies,2013,47,29,97.49,96.04,49,27,93.67,94.47
Miami Heat,2013,55,43,102.95,96.22,55,29,98.42,97.49
Milwaukee Bucks,2013,43,11,94.21,100.93,45,5,95.96,105.38
Minnesota Timberwolves,2013,44,26,107.45,101.27,44,18,105.98,106.02
New Orleans Pelicans,2013,44,24,100.93,99.3,46,17,98.78,104.04
New York Knicks,2013,42,19,99.55,98.79,47,20,97.32,100.32
Oklahoma City Thunder,2013,55,42,106.8,98.96,52,30,102.9,101.31
Orlando Magic,2013,46,20,99.24,100.85,44,5,93.55,103.16
Philadelphia 76ers,2013,45,11,100.18,110.27,43,9,98.12,109.4
Phoenix Suns,2013,43,27,107.4,102.09,45,25,102.07,101.87
Portland Trail Blazers,2013,50,36,106.84,101.76,50,28,104.5,103.76
Sacramento Kings,2013,44,20,101.93,101.73,45,13,98.96,103.56
San Antonio Spurs,2013,57,44,106.65,97.02,54,36,104.0,99.02
Toronto Raptors,2013,50,32,103.3,98.72,46,25,98.54,96.83
Utah Jazz,2013,44,17,96.23,100.02,46,9,93.28,103.63
Washington Wizards,2013,50,24,98.4,97.32,50,28,99.8,98.32
Atlanta Hawks,2014,52,42,102.19,95.12,53,30,101.34,99.66
Boston Celtics,2014,48,24,100.4,98.67,46,21,101.3,102.48
Brooklyn Nets,2014,47,23,99.49,101.36,46,20,96.54,100.35
Charlotte Hornets,2014,45,21,94.6,96.38,45,15,93.84,98.42
Chicago Bulls,2014,52,33,100.1,96.38,50,27,99.98,97.78
Cleveland Cavaliers,2014,55,41,103.22,96.64,53,30,101.64,99.79
Dallas Mavericks,2014,47,30,107.45,103.55,48,25,103.38,102.17
Denver Nuggets,2014,43,20,103.72,103.53,47,12,98.72,105.83
Detroit Pistons,2014,44,21,101.45,100.64,45,16,95.8,97.71
Golden State Warriors,2014,55,51,110.98,98.09,56,38,106.57,99.95
Houston Rockets,2014,54,41,104.31,98.76,53,30,103.89,104.66
Indiana Pacers,2014,44,25,98.41,95.55,45,16,95.84,98.29
